sentiment,content
netral,Sudah dengan agent Firza yang mana sebelumnya sama agent Pita langsung di solved padahal belum selesai nanya terima kasih responnya ya.
netral,"min, tolong cek dm ya, terima kasih"
netral,cek dm min
negatif,tolong dong traveloka refund saya lama sekali ditangani sudah sai lebih 90 hari
positif,Makasiihh kak jadi semangat nihhh selalu liat konten Traveloka dan disemangati sama kakak Admkn
netral,mohon cek dm min
netral,min ada kupon promo kereta yg gede gk dri mdn ke bks
netral,Cek dm min
netral,"mohon cek dm min, terima kasih"
negatif,loh tp bukannya penerbangan internasional itu di terminal 3 semua min
netral,min buat penerbangan ke malaysia dari CGK pakai batik air malaysia itu terminal 2 atau 3 ya di tiket terminal 2F tp bukannya penerbangan internasional di terminal 3 ya mohon bantuannya makasih min
positif,"Waaww. Selamattt Bismillah bulan depan namakuu. Geer dulu, menang GA kemudian wkwk"
positif,Selamaat
netral,mint kalo tiket pesawat wajib milih tempat duduk
netral,min mau ubah nomor kursi di akun traveloka bisa ga ya Kursi kereta
netral,cek dm kak
positif,Promo traveloka bikin kita untung dan gak bikin kantong jebol
positif,"Masuk wishlist, semoga kesaian naik.. Yang pasti pesan pakai traveloka.. Liburan dadakan menguntungkan"
netral,cek DM min
netral,"min, cek DM yaa"
netral,Cek dm min
positif,"Wahhhh selalu takjub sama keren dan indahnya gerbong kereta Panoramic, semoga suatu saat bisa kesaian naik Panoramic, makasi kak konten² nya"
netral,"Min tolong dikasih fitur chat di apknya, biar bisa tanya2 dulu, terkadang dapat kamarnya gak sesuai ekspektasi."
netral,tolong cek dm ya. Terimakasih
netral,Sudah min
netral,"hi please cek DM, saya mengalami kendala untuk pembayaran credit card. thank you"
positif,Tetep tertawa bahagia meskipun banyak kerjaan :
negatif,". halo TK, case ini masih BELUM SELESAI yah. SOLUSI TERBAIK masih belum didapatkan. Yang ada masing2 pihak MELEMPARKAN/LEPAS TANGGUNG JAWAB. bilang Ini kewengan dan sebaliknya. Cc."
netral,min.. tolong cek DM
negatif,min lagi error kah Gabisa pesen tiket pesawat
netral,Ka cek DM
positif,"tidak cuti sih, tapi memang belom ada kerjaan jadi masih meliburkan diri"
netral,Bc dm kak
netral,Sudah diinfokan di dm mohon di respon
positif,Siap minnn Anyway semoga berkah buat kita semua ya
positif,"Makasih minn, mimin juga ya semangattt Kapan nih ada GA lagi"
negatif,Kalo yang masuk kerja gimana min
positif,Sudah kerja kak tapi tetap semangat supaya bisa nabung buat jalan²
netral,min cek dm
netral,"Halo, barusan saya booking hotel. Tapi kenapa pas pilih split payment tombol pay with bcanya gak bisa dipencet Terus saldo uangku saya gak bisa dipake dong"
netral,baca DM min
netral,Promo tiket pesawat ada kah min
netral,nunggu epic sale aja
positif,Makasih Kak udah bantu share. Jangan se ketinggalan yaa.. -RU
netral,"Maksudku, trip perjalanan/positioning mobilnya selama durasi sewa itu apakah bisa di monitor seperti aplikasi gojek dll Contoh: Oh si mobil ke tempat a, pindah ke b dan sekarang jalan dengan koordinat c"
positif,Waahhh tahun baru makin banyak promo mantap
positif,"Asik, dapet kode promo diskon khusus ga min"
netral,cek dm min.
netral,call center nya berapa 29103300 ga ada yang angkat
negatif,ck dm
netral,ingfo diterima min
netral,min balas dm saya lagi
netral,Balas lagi ya min soalnya aku mau nanya2
netral,min cek dm
netral,"Halo SY, ini : 868173467. Thanks. Cc. Tolong yah TIDAK SALING LEMPAR - LEMPARAN Kebijakan antara Kalian. Cari kan SOLUSI TERBAIKNYA buat saya, client kalian. Please."
negatif,kalau voucher tertunda gimana Kok lama
netral,sudah kudm ya min tolong dicek
netral,"halo Traveloka saya mau tanya, kalau misal saya pengajuan reschedule flight dan misalkan sudah keluar inoive baru dan belum dibayar, selama belum bayar tidak jadi reschedule, eticket dan pemesanan sebelumnya tetap berlaku kan ya"
netral,"Halo Santi, Asya dan Nia sdh Copy case saya ini. Dan sdh saya kirim Data dan informasi yg LENGKAP koq. Silahkan koordinasi dg beliau. Anda kan Team bukan Thanks"
netral,Udah di dm cek ya
netral,"Halo min, cek DM yaaa"
positif,siap Min otw pesenn
netral,apakah ada cara laen untuk terima verification code Karena saya tidak bisa terima otp dari sms maupun call
netral,cek dm lagi min
negatif,Diskon pesawat kek min
positif,Mantab Langsung buka aplikasi
netral,Yuk Kak quality time atau me time sambil nyusun wishlist dan goals di 2023 -AH
negatif,Ketemu cowo hindu
negatif,CS nya semua cumq kayak robot mesin. asal reply dengan template. Tidak ada komunikasi yg baik untuk menyelasaikan masalah.
negatif,Udah segala cara saya coba tapi kok naknya tidak ada tanggapan yang benar ya. Semua chat ke cs tanggapannya hanya template. Tolong hargai upaya customer. Masa sudah 2minggu tidak ada kejelasan. Tidak professional sekali
netral,Ngajak istri bisa kali y
netral,oke min tolong tambahin kuponnya ya aku dm email ku
netral,minn promo mastercard kenapa out of stock besok ada lagi ga
negatif,maaf udah ga sabar bulan madu yg ke 117. -LM
netral,Se tgl brp nih Pgn staycation
positif,Ini dia yg aq tnggu
negatif,masa berlakunya se kapan min mauuuuu
positif,Makasih ya Kak udah retweet. -CA
positif,Enaknya ngajak siapa yhh
netral,"halo min minta tolong check dm ya, ada urgensi dari penumpang mengenai ketidakprofesionalan mitra dan penumpang sangat butuh bantuan, tindakan admin, makasih"
positif,"tempat kerja yang seruu, bos dan temen temen kantor yang baikkkk banget trs temen temen kuliah yang baik baikk juga"
