content,sentiment
met taun baru ges,netral
ini siap undip yh,positif
"Hadiah tahun baru dari siap undip, yg oren ganggu.",negatif
"Abis liat kembang api, buka siap undip, liat nilai ternyata udh keluar, lgsg ambyaaaarr air matakooo. Huhuhuhuhuhu berasa dapet kado",positif
Bentuknya kek siap Undip ya,negatif
"Maju terus dosen Undip, saya sebagai alumnus siap bantu nyikat mahasiswa2 seperti ini",positif
Congratss nder kerenn undip jg yaa tilannya kaya apk siap hehe,positif
keknya percuma dah gw bolak balik ngecekin siap undip se tahun baru,negatif
"Ngaku lulusan Undip, tukang riset dan wiraswasta tp pola pikirmu kok goblok. Ayo mlipir di sini diskusi soal orba sama aku. Aq cm bakul crepes yg pernah nantangin kamu diskusi soal Komunis tp kamu block. Reseacher biasanya siap berdiskusi bkn cemen main block,,",negatif
Hahahahah siap undip dijajah mixue,netral
"Di siap undip kalo pake aplikasi keliatan langsung, kalo engga pake web di bagian akademik terus bagian khs atau transkip",netral
hari hari ngecek siap undip,netral
di apk siap undip,netral
siap bang,positif
seperti warna nilai A di SIAP undip,netral
Siapa yg disini bolak balik ke siap undip bwat cek khs cunk Sy bang sy,netral
drpd mikirin SIAP undip mending mikirin SIAP-siap pindah jurusan kontol,negatif
Pelangi Pelangi alangkah indahmu merah kuning hijau di langit yang biru siap undip,positif
siap undip lencang depan undip tegap undip,positif
ada siap undip coy,positif
undip karena mau nya di undip undip tolong terima ak ya tahun depan ak nih dah siap bnget ikt senam sambil tutup mata,positif
"pgn uninstall siap undip deh, kesel liat nilai nya ajg",negatif
"-dips KEREN ANJIR FKM BIKIN GINIAN , SIAP GAK YA UNDIP KTR WKWKWKWK",positif
"Gue emang share password akun siap undip gue ke temen2 karena gue percaya sama mereka, tapi gue ga seneng banget ada orang yg ngepoin ipk gue even temen gue sendiri. Gue tau, dengan share pw artinya itu dah resiko buat mereka tau isi di dalemnya. Tapi tolong hargai privasi gue jg",negatif
"iyaaa adik sayang. tanya di sini itu gapapaa, kan memang fungsi base salah satunya untuk berbagi informasi. tapi, alangkah baiknya coba seeking information di platform lain dulu. misal di webnya undip, di siap, dll. kalendar akademik itu bisa membantu kamu kalo bingung knp nilai",positif
"tapi ini bener loh padahal di siap tuh udah ada semua informasi tapi pada males baca. kemarin abis ditanyain angkatan 22 undip tu liburnya kapan trus gue jawablah di siap undip udah ada jadwalnya semua, coba cek sendiri.",negatif
siap for ios aja dlu. masa sekelas undip gabisa menyamaratakan os sih,negatif
"ga deh ini SIAP Undip adain dulu buat ios user dulu deh., susah bgt harus buka web dulu mana suka trouble webnya",negatif
Pliiis,positif
setuju cape bgt buka siap undip sejam sekali,negatif
"Udah keberapa kalinya gua bolak balik siap.undip teros ya allah, deg-deg an banget sii huhuhu:",negatif
SIAP undip minimal ada di ios lah ya,netral
"manifesting 2023 ganti hp, alias cape bgt pake hp bekas ibu kalo buka siap undip suka ngelag",negatif
bayangin siap undip begini,negatif
Siap undip mo gini juga ga,netral
berharap apa ke siap undip yg di ios aja gada. bye bgt,negatif
apk siap undip bagian KHS,netral
apk siap undip,positif
"lewat sso dibagian akademik, atau gak lewat siap undip",netral
Kapal Bertenaga Surya Buatan Mahasiswa Undip Siap Berkompetisi di Monaco,netral
"Udah siap jadi bagian dari taman siswa dan lolos Undip tahun depan, cihuy",positif
"-dips Guys, yang mau KKN, siap-siap dana ya buat KKN. Dulu aku KKN di kota sendiri yang gak nginep di sana pp dari rumah aja abis 1jt lebih karena gak dikasih dana samsek dari Undip.",negatif
"iyaaa wkwk tau kok snm tuu banyak banget faktor x nyaa,, se gabisa diprediksi....btw semangat nak arsi semester depan estetika bentuk Trimatra siap menanti btw di Undip nama matkul nya juga estetika bentuk apa bedaa yaa",positif
"-dips sender angktan 22, masi bingung sama nilai yg ada di siap Undip. itu klo udh keluar gitu masih ada kemungkinan berubah ga ya makasih yg bantu jawab",netral
sebuah kesalahan besar buka siap undip dipagi yang cerah ini,negatif
aku berhasil jawab 3 soal p. mat udah berasa siap masuk undip,positif
"Agak susah sih karna km blm ada alumni dan langsung nembak FK, tapi coba aja dulu nderr mana tau km yg buka jalan buat adkel. Tapi yaa harus siap sama apapun hasilnya nanti. Kalau masih pgn di FK UNDIP harus belajar lebih keras di SNBT yaa.",negatif
Kapal Bertenaga Surya Karya Undip Siap Berlaga di Kompetisi Dunia,netral
Kapal Bertenaga Surya Karya Undip Siap Berlaga di Kompetisi Dunia,netral
"sjujurnya takut ngeliat ipk pertama, tp tiap hari aku mantau siap.undip karna ga sabar ngeliat hasil sm1 ini",positif
Undip,netral
"Siap-siap SNBT 2023, Ini Jurusan Sepi Peminat Undip",negatif
Gas langsung dah siap,positif
"-dips Need ASAP olah data buat uji asumsi klasik, regresi berganda, dan uji hipotesis. Data udah siap rapi. Fee bisa diomongin. Prefer yang bisa ketemu malam ini, posisiku deket pom bensin undip.",netral
"siap undip diuninstal biar ngga overthinking dg ipk, masih trauma gr gr semester kemarin",negatif
"siap si paling paham internal si paling paham organisasi, meskipun gw di bawah lo dikira di undip gw ngga ngapa-ngapain kali.",negatif
"bayangin app siap undip ada e-ktm nya, ada e-library cardnya, ada course dan berita program di undip. jadinya ga cuma buat absen sama liat nilai doang. bayangin dulu -dips",negatif
ready kartu mahasiswa undip siap meramaikan,netral
"Halo kak, kami sedia install ulang dan install aplikasi dari berbagai kebutuhan nih kak, only 15k saja sudah siap pakai ya kak, lokasi di Sumurboto, Dekat Undip. Nomor wa nya ada dilink bio kami ya kak",netral
Tolong pak/bu tindakannya bantu saikan juga ka,negatif
sudah siap menjadi part of undip heheh,positif
siapundip tidak support ios prfttt,negatif
sementara pengguna ios di undip msih mnunggu lemotnya web siap,netral
"ternyata bener c, siap masuk undip",netral
INFO DONOR DARAH Kalian ingin melakukan kerjasama untuk mengadakan kegiatan DONOR DARAH Tenang KSR FKM UNDIP siap membantu kalian Ingin tahu caranya Untuk ketentuan dan SOP dapat dilihat di,netral
"aku anak ilpus undip, baru semester 1, tp udah cek kurikulum kok. Jadi intinya belajar tntng perpustakaan dr berbagai aspek klasifikasi, penomoran buku, dsb, belajar ilmu dokumentasi jg, ada kearsipan, sama ilmu informasi juga. Intinya ini mempersiapkan mahasiswanya siap",positif
"BIOGEN - SCIENTIFIC MAP Hai Biologist Apa kabar kalian semua Gimana nih sudah siap menghadapi UAS Sebelum itu, disini ada info sedikit nih untuk kalian yang berminat mengetahui perihal Karya Tulis Ilmiah. Gak cuman itu loh,",netral
Undip aku siap jdi mahasiswa mu,positif
admin siap undip,netral
"HAYY Salam kenal bagi ciwi-ciwi Undip, kami Anjemsyss siap membantu antar jemput kamu dan siap dititipin belanjaan keperluan kamu",positif
"OUR GENERATION Hallo, Nutrilicious Apa kabarnya, nih Wah ga kerasa banget yaa program yang ditunggu-tunggu akhirnyaaa bentar lagi ajaaa Kali ini kita bakal belajar bareng-bareng untuk bersiap-siap meneruskan tonggak kepemimpinan HMIG, nihhh",positif
ak siap pindah kl di undip g dpt pcr,netral
"moga alma diterima teksip undip yah, aku arsi undip, biar gedung kita deketan ak ngga siap ngga ketemu alma tiap hari tiap jam karena beda prodi tapi gapapa teknik satu teknik jaya",positif
Siap mbak hukum undip,positif
tolonggggg,positif
Terbentuknya Ika Teknik siap merangkul 12 departement teknik Undip. Temukan berita lengkap di,netral
"Makanan siap saji Terpal Karung Sekop Gerobak Tenda pengungsian Mari bersama-sama kita bantu saudara/i kita yang sedang terdak bencana, ulurkan tangan kita dan marilah berdonasi melalui: BCA - Nadhifa Azzahra P 2221059788",netral
"Ak sayang bgt pokoknya sm ka kymal, ka jura, ka dion",positif
"Padahal mah gak usah ngundang guest star yg wuah bgt klo gak siapdana gak ada, kalau gini kan orang orang bakal punya trust issue kalau diundang buat event Undip, khususnya FIB. Ngundang band kus atau band lokal sini aja tuh its okay gengs. Mending ngadain orenji aja deh ini",negatif
siapa yg jadi pengkhianat NKRI..SIAP SIAP DIADILI..,negatif
"Sumpah mau ngikutin media independent ala ala skena, tapi masih bawa nama kus. Coba tolong jelaskan dong min",netral
"mantap mas reportasenya, kebetulan saya lulusan kelautan dari undip, jika ada perlu sokongan informasi akadek soal proses yg terjadi di Pulau Pari, saya siap membantu mas, tinggal dm saja saya mengenai apa saja yg diperlukan. terima kasih",positif
"Yup Cuma cukup menarik juga manuver yang diambil, ya harus siap sama ginian wkwkw apalagi ada base undip makin gang nyebar",positif
KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
17.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
17.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
-dips wt/s tiket fisik mahakarya f1b 70k aja udah ketemu tba hivi dan 3 guest star lain siap dianter ke kos kamu tembalang only ada paket bundling jg loh tag. mahakarya undip tba hivi soegi bornean konser semarang cjr coboy junior,netral
Maggot Siap Didukung Mahasiswa KKN Tematik Undip: Digital Marketing dan Branding - -,netral
17. KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
17. KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal,netral
dosen-dosen ngasi kelas pengganti ner bener ga ngabarin tau tau lho mas kok tidak ada yang masuk padahal di SIAP sudah saya beritahu APK SIAP UNDIP GADA NOTIF WOEE:,negatif
